rank,surname,name,year,club,points
198,MEULENBELT ZUMER,Adriaan,2001,CHARENTON,2036.38
199,BUTRUILLE,Jesse,1995,BORDEAUX EC,2031.99
200,PEKER,Yigit,2000,GEMENOS,1983.80
201,VALLEE,Adrien,2001,LOUVIERS CE,1982.01
202,DRAPIER,Sebastien,2001,ORLEANS CE,1932.47
204,PLACE,Sebastien,1999,CREST LIVRON,1898.15
205,HENIQUE,Thibault,1999,CLAMART CE,1887.99
207,NAWAOUI,Swane,1992,MEYLAN SE,1883.36
209,BOUDEAU,Xavier,1997,MONTARGIS AE,1834.80
210,KALUZA,Pierre-Frederic,2001,MAISONS ALF,1830.14
211,GERDOLLE,Clement,1981,STRASBOURG U,1786.43
212,MORTREUX,Pierre,2000,ROUBAIX CE,1776.79
213,LE CORRE,Augustin,2001,PARIS RCF,1738.59
214,BIANCO,Ludovico,2000,STRASBOURG U,1710.12
215,FERNANDEZ,Daniel,2003,SAVERNE,1693.73
216,NOBLANC,Timothee,1998,MONTARGIS AE,1691.16
217,HURDUBAI,Paul,1984,JOUE TOURS,1682.75
218,SANS (FR),Oscar,2002,TARBES ATE,1667.57
219,FERRET,Alexis,1993,GISORS 3A,1644.12
220,XXXXX,XXXXX,XXXXX,ST QUENTIN,1543.16
221,DRUILHET,Diego,2004,TARBES ATE,1521.62
222,JACQUES,Philippe,1995,CHARLEVILLE,1486.55
224,LECOQ,Yohan,1998,PARIS RCF,1436.89
225,LEONE,Patrice,1964,LOUVIERS CE,1414.73
226,ROUSSET,Marc,1992,PARIS RCF,1369.97
227,AGUERO,Christopher,1998,LYON CA,1360.58
229,ROBINEAUX,Sébastien,1974,MONTARGIS AE,1355.17
230,HAMOY,Julien,1996,CLAMART CE,1346.81
231,BRAVO,Camilo,2001,RILLIEUX LP,1333.51
232,GUILLEY,Lucas,2005,CHARLEVILLE,1316.50
233,MARCHAND,Thomas,1999,JOUE TOURS,1281.50
234,MIQUEU,Nolann,2004,PAU SECTION,1277.45
235,CABANAC,Adrien,2002,TARBES ATE,1273.58
236,XXXXX,XXXXX,XXXXX,MAI LAFFITTE,1237.79
237,MEVEL,Nicolas,1977,CHARENTON,1202.87
238,VILLACAMPA,Rémi,1996,PAU SECTION,1200.89
239,CLOGENSON,Fabien,1999,LOUVIERS CE,1146.88
240,BULLOT,Paul-Henri,1992,PARIS USM,1108.67
241,FERAUD,Thomas,1999,MEYLAN SE,1108.65
242,VERDIER,Lilian,2004,CHARLEVILLE,1106.86
243,CERBONI,Adrien,1985,CLAMART CE,1024.22
244,LENOIR,Adrien,1993,MAI LAFFITTE,1004.80
245,COLLET,Martin,2001,BESANCON UC,984.58
246,ZIPPER,Thomas,1980,PARIS RCF,982.47
247,OUERGH,Elies,1997,MEYLAN SE,945.12
247,SCHMIDT,Aurélien,1996,LYON CA,945.12
250,SABATIER,Lubin,2002,MONTARGIS AE,878.74
251,GICQUIAUD,Alexandre,1988,NANTES ERNM,859.07
252,RAIMBAULT,Harold,2001,JOUE TOURS,829.27
253,BELLEVILLE,Alois,1986,DIJON CE,818.54
254,HOSPITAL,Aurélien,2003,BOURGES ESC,818.03
255,DUYCK,Clement,1995,WATTRELOS CE,807.67
257,GUIGNAT,Olivier,1972,COMBS VILLE,784.75
258,FOURNIER LE RAY,Pierre,1996,NANTES ERNM,778.30
259,GUELTON,Bastien,1996,ROUBAIX CE,777.43
260,MAREZ,Donatien,1998,WATTRELOS CE,759.37
261,SALVAT,Adrien,2004,CHARENTON,758.76
262,MORRESI,Matteo,1998,PARIS USM,754.05
263,JARAY,Alexandre,1996,BAIE ARMOR,738.34
264,REBOUL,Alwyn,1997,GISORS 3A,729.65
265,GASTEL,Armand,2002,AULNAY CE,711.56
266,XXXXX,XXXXX,XXXXX,NEUBOURG,698.68
267,WINANDY-PROUST,Nathaël,2004,JOUE TOURS,689.38
268,VAZ,Adrien,2000,SEYSSINS,680.36
269,QUERU,Cyril,1973,DIJON CE,664.24
270,TERRASSON,Rémi,1984,BOURGES ESC,659.29
271,RUEZ,Felix,2004,PAU SECTION,651.69
272,GIORGIANI,Frederic,1973,BESANCON UC,644.08
272,LOHO,Guillaume,1998,SEYSSINS,644.08
274,PEROT,Julien,1984,BOURGES ESC,620.18
276,BONIFACIO,Gustavo,1990,STRASBOURG U,588.99
277,FLAUD,Victor,2004,GISORS 3A,559.33
278,LAUSTRIAT,Brieuc,1984,AUZEVILLE ST,542.77
279,PEYCRU,HORACE,1994,PARIS SCUF,537.50
280,LANDI,Mathieu,1999,CHATOU,537.35
282,ESQUERRE,Olivier,1968,MAISONS ALF,508.12
283,REGIN,Florian,1994,PARIS RCF,496.79
