rank,surname,name,year,club,points
262,DHAUSSY,Charles,2000,LILLE VAUBAN,1730.71
263,PIANTINI,Niccolo,1997,AVIGNON AE,1711.17
264,SIMONS,Arthur,2002,CHARLEVILLE,1690.74
265,SPICHIGER,Antoine,2005,LYON SE,1674.70
266,DELLERY,Quentin,1988,BLR92,1649.71
267,VENTURI,Raffaele,1996,HOUILLES GO,1631.44
267,CHARRA,Thibault,1989,BOIS COLOMBE,1631.44
269,SENTUC,Julien,1996,VILLE AVRAY,1603.31
270,PALOSSE,Mathieu,1986,ONET CHATEAU,1578.67
271,TOMINE,Octave,1999,PARIS CEP,1542.12
272,SIRIU,Pascal,1972,VAL D ORGE,1528.03
273,ROUFF,Denis,2001,TRAPPES EC,1526.37
274,TARGE,Maxime,2001,LYON MDF,1507.22
276,BURNET,Sébastien,2003,POITIERS,1505.82
278,HAMAYON,Pierre Louis,2003,PARIS SCUF,1470.66
279,GUENANEN,Valentin,1990,PARIS TA,1449.01
280,WATSON,Pierre,2002,MELUN VDS,1424.42
281,VINCENT,Hiram,1973,DIJON CE,1404.38
282,MIOMANDRE,Charles,2002,NANTES NEC,1384.47
283,BOBE,Regis,1968,BLR92,1371.81
284,DAUNAY,Antoine,1987,CHAMBERY CE,1370.75
285,BEAUX,Philippe,1971,RUEIL MALMAI,1364.66
286,SAVIN,Thibaut,1997,PARIS TA,1325.40
287,GREGOIRE,Thomas,2004,ANGOULEME,1317.26
288,BAZIN,Alexandre,2000,MEAUX CE,1293.58
289,ZYLBERBERG,Thomas,1994,PARIS NORD,1286.58
290,CORMIER,Charles,2003,ETAMPES MDF,1268.24
291,LE SCAO,Teven,1996,PARIS TA,1252.12
292,CORDERO,Lorenzo,1999,PARIS TA,1248.19
293,BORIES,Florian,1988,VELIZY CE,1236.10
294,FABREGAT,Dorian,1973,BEZIERS CE,1229.16
295,RUIS,Marceau,2004,LYON MDF,1188.70
296,FARRE,Quentin,1997,LYON SE,1179.84
297,CARON,Vincent,1973,BLR92,1158.29
298,MELI,Fabrice,1971,VILLE AVRAY,1135.54
299,GEGOUT,Sebastien,1985,TRAPPES EC,1098.80
300,BUREAU,Florian,2003,MENUCOURT EC,1081.61
301,JOLY,Cyril,2000,BLR92,1080.57
302,RICHAUD,Fabrice,1974,LYON SE,1068.41
303,BEAUVAIS,Olivier,1983,PARIS SCUF,1052.09
304,REY,Ruben,2002,PARIS CEFC,1044.41
305,CHEVRY,Enzo,2004,PERIGUEUX EP,1022.49
306,SASSIER,Alexandre,1997,ROUEN CE,1017.05
307,BOLZE,Olivier,2001,ISSY MOUSQUE,1007.94
308,BESLIER,Jocelyn,1974,BLR92,995.37
309,GABRIEL,Luka,2004,VAL D ORGE,993.48
310,CHEBLI,Alexis,1996,VILLEJUIF US,990.86
311,VALENTIN,Come,1999,RUEIL MALMAI,979.10
311,ETGENS,Vincent,2004,ANTONY,979.10
313,DE LA FONTAINE,Vincent,1991,BORDEAUX CAM,973.20
314,AGOSTINI,Mathias Georges Michel,1989,CABRIES OC,959.21
315,FONCIN,Charles,1986,TRAPPES EC,958.28
316,CLAISSE,Silvère,1998,BORDEAUX EC,950.60
317,BELLY,Stephane,1991,MURET CE,936.48
318,JULIEN,Thomas,1994,BLR92,923.28
319,TOURNIER,Vincent,1996,BESANCON RCE,920.75
320,DERAMBURE,Maxime,1986,MAISONS ALF,903.44
321,ANFRUNS,Julien,1973,PARIS TA,894.60
322,GAURY,Thibault,1996,RUEIL MALMAI,894.37
323,UNBEKANDT,François,1976,CHAMBERY CE,887.59
324,DE BEAUFORT,Jean,1993,PARIS TA,880.80
325,COPY,Samuel,1975,MEAUX CE,869.08
326,COSTA,Thomas,2002,PARIS CEP,867.08
327,HENRY,Nicolas,2001,LE PECQ US,852.13
328,COUILLET,Noé,2004,HENIN BEAUM,839.88
329,KOSIADA,Vincent,1986,PARIS TA,835.07
330,PAUL,Adrien,1997,YERRES,818.19
